BIOTA MFG — SCREEN PRINT PRICING SHEET
Generated from InkTracker pricing engine

=== FIRST PRINT LOCATION (per piece) ===
Colors,25+ pcs,50+ pcs,100+ pcs,200+ pcs
1 Color,$6.30,$5.67,$5.22,$4.90
2 Colors,$6.93,$6.24,$5.77,$5.48
3 Colors,$7.55,$6.80,$6.29,$5.97
4 Colors,$8.16,$7.34,$6.79,$6.45
5 Colors,$8.73,$7.86,$7.27,$6.90
6 Colors,$9.25,$8.33,$7.70,$7.32
7 Colors,$9.75,$8.78,$8.12,$7.72
8 Colors,$10.23,$9.21,$8.52,$8.10

=== ADDITIONAL PRINT LOCATION (per piece) ===
Colors,25+ pcs,50+ pcs,100+ pcs,200+ pcs
1 Color,$3.15,$2.68,$2.41,$2.29
2 Colors,$3.45,$2.93,$2.64,$2.51
3 Colors,$3.75,$3.19,$2.87,$2.73
4 Colors,$4.05,$3.44,$3.10,$2.94
5 Colors,$4.25,$3.61,$3.25,$3.09
6 Colors,$4.45,$3.78,$3.40,$3.23
7 Colors,$4.65,$3.95,$3.55,$3.37
8 Colors,$4.85,$4.12,$3.70,$3.51

=== ADD-ON RATES (per piece) ===
Add-On,Cost Per Piece
PMS Color Match,$1.00
Difficult Print,$0.50
Waterbased Ink,$1.00
Inside Tag Print,$1.50

=== 2XL+ SURCHARGE ===
Size,Surcharge Per Piece
2XL,$2.00
3XL,$2.00
4XL,$2.00

=== MARKUP MULTIPLIERS ===
Type,Multiplier,Description
Standard Markup,1.40x,40% markup for regular customers
Broker Markup,1.20x,20% markup for broker customers
Broker Share,0.20,Broker gets 20% of the margin

=== GARMENT COST MARKUP (dynamic) ===
Garment Cost Range,Markup,Effective %
$0 - $8,1.40x,40%
$8.01 - $15,1.30x,30%
$15.01 - $25,1.22x,22%
$25.01+,1.15x,15%

=== RUSH FEES ===
Speed,Surcharge,Turnaround
Standard,0%,14 business days
Rush,+20%,7 business days

=== QUANTITY TIERS ===
Order Quantity,Tier Used
1-49 pieces,25+ pricing
50-99 pieces,50+ pricing
100-199 pieces,100+ pricing
200+ pieces,200+ pricing

=== EXAMPLE: 100 pcs / 3 colors / 1 location / $5 garment ===
Item,Calculation,Total
Print (first location),$6.29 × 100,$629.00
Garment (40% markup),$5.00 × 1.40 × 100,$700.00
Subtotal,,$1329.00
Per Piece,,$13.29
